datetime,PublicGrid_0_import (kWh)
2024-04-10T15:45:00Z,0.0
2024-04-10T16:00:00Z,0.001
2024-04-10T16:15:00Z,0.0
2024-04-10T16:30:00Z,0.0
2024-04-10T16:45:00Z,0.162
2024-04-10T17:00:00Z,0.022
2024-04-10T17:15:00Z,0.0
2024-04-10T17:30:00Z,0.0
2024-04-10T17:45:00Z,0.0
2024-04-10T18:00:00Z,0.0
2024-04-10T18:15:00Z,0.0
2024-04-10T18:30:00Z,0.0
2024-04-10T18:45:00Z,0.005
2024-04-10T19:00:00Z,0.0
2024-04-10T19:15:00Z,0.0
2024-04-10T19:30:00Z,0.0
2024-04-10T19:45:00Z,0.005
2024-04-10T20:00:00Z,0.004
2024-04-10T20:15:00Z,0.0
2024-04-10T20:30:00Z,0.01
2024-04-10T20:45:00Z,0.001
2024-04-10T21:00:00Z,0.002
2024-04-10T21:15:00Z,0.0
2024-04-10T21:30:00Z,0.014
2024-04-10T21:45:00Z,0.0169999999997671
2024-04-10T22:00:00Z,0.0790000000002328
2024-04-10T22:15:00Z,0.082
2024-04-10T22:30:00Z,0.074
2024-04-10T22:45:00Z,0.0619999999997671
2024-04-10T23:00:00Z,0.071
2024-04-10T23:15:00Z,0.074
2024-04-10T23:30:00Z,0.0710000000002328
2024-04-10T23:45:00Z,0.0620000000002328
2024-04-11T00:00:00Z,0.3309999999995343
2024-04-11T00:15:00Z,0.5170000000002328
2024-04-11T00:30:00Z,0.544
2024-04-11T00:45:00Z,0.192
2024-04-11T01:00:00Z,0.0039999999997671
2024-04-11T01:15:00Z,0.0010000000002328
2024-04-11T01:30:00Z,0.005
2024-04-11T01:45:00Z,0.0029999999997671
2024-04-11T02:00:00Z,0.002
2024-04-11T02:15:00Z,0.0050000000002328
2024-04-11T02:30:00Z,0.0
2024-04-11T02:45:00Z,0.01
2024-04-11T03:00:00Z,0.008
2024-04-11T03:15:00Z,0.058
2024-04-11T03:30:00Z,0.009
2024-04-11T03:45:00Z,0.0749999999997671
2024-04-11T04:00:00Z,0.0010000000002328
2024-04-11T04:15:00Z,0.0059999999997671
2024-04-11T04:30:00Z,0.0190000000002328
2024-04-11T04:45:00Z,0.098
2024-04-11T05:00:00Z,0.086
2024-04-11T05:15:00Z,0.0
2024-04-11T05:30:00Z,0.007
2024-04-11T05:45:00Z,0.0
2024-04-11T06:00:00Z,0.0
2024-04-11T06:15:00Z,0.0
2024-04-11T06:30:00Z,0.016
2024-04-11T06:45:00Z,0.0
2024-04-11T07:00:00Z,0.0
2024-04-11T07:15:00Z,0.002
2024-04-11T07:30:00Z,0.0
2024-04-11T07:45:00Z,0.029
2024-04-11T08:00:00Z,0.746
2024-04-11T08:15:00Z,0.6309999999997672
2024-04-11T08:30:00Z,0.6130000000004656
2024-04-11T08:45:00Z,0.0249999999997671
2024-04-11T09:00:00Z,0.6490000000002328
2024-04-11T09:15:00Z,0.603
2024-04-11T09:30:00Z,0.5659999999997671
2024-04-11T09:45:00Z,0.584
2024-04-11T10:00:00Z,0.013
2024-04-11T10:15:00Z,0.0020000000002328
2024-04-11T10:30:00Z,0.0529999999997671
2024-04-11T10:45:00Z,0.022
2024-04-11T11:00:00Z,1.084
2024-04-11T11:15:00Z,1.13
2024-04-11T11:30:00Z,1.1260000000002328
2024-04-11T11:45:00Z,1.120999999999767
2024-04-11T12:00:00Z,1.099
2024-04-11T12:15:00Z,1.139
2024-04-11T12:30:00Z,0.595
2024-04-11T12:45:00Z,0.612
2024-04-11T13:00:00Z,0.6559999999997672
2024-04-11T13:15:00Z,0.6320000000002328
2024-04-11T13:30:00Z,0.958
2024-04-11T13:45:00Z,1.473
2024-04-11T14:00:00Z,0.759
2024-04-11T14:15:00Z,0.741
2024-04-11T14:30:00Z,0.709
2024-04-11T14:45:00Z,0.163
2024-04-11T15:00:00Z,0.0
2024-04-11T15:15:00Z,0.441
2024-04-11T15:30:00Z,0.001
2024-04-11T15:45:00Z,0.132
2024-04-11T16:00:00Z,0.13
2024-04-11T16:15:00Z,0.002
2024-04-11T16:30:00Z,0.0
2024-04-11T16:45:00Z,0.0
2024-04-11T17:00:00Z,0.0
2024-04-11T17:15:00Z,0.524
2024-04-11T17:30:00Z,0.821
2024-04-11T17:45:00Z,0.132
2024-04-11T18:00:00Z,0.001
2024-04-11T18:15:00Z,0.0
2024-04-11T18:30:00Z,0.0
2024-04-11T18:45:00Z,0.0
2024-04-11T19:00:00Z,0.585
2024-04-11T19:15:00Z,0.004
2024-04-11T19:30:00Z,0.0
2024-04-11T19:45:00Z,0.0
2024-04-11T20:00:00Z,0.0
2024-04-11T20:15:00Z,0.0
2024-04-11T20:30:00Z,0.0680000000002328
2024-04-11T20:45:00Z,0.3109999999997672
2024-04-11T21:00:00Z,0.723
2024-04-11T21:15:00Z,0.005
2024-04-11T21:30:00Z,0.0
2024-04-11T21:45:00Z,0.295
2024-04-11T22:00:00Z,0.141
2024-04-11T22:15:00Z,0.428
2024-04-11T22:30:00Z,0.643
2024-04-11T22:45:00Z,1.926
2024-04-11T23:00:00Z,1.741
2024-04-11T23:15:00Z,2.098
2024-04-11T23:30:00Z,0.431
2024-04-11T23:45:00Z,1.591
2024-04-12T00:00:00Z,1.558
2024-04-12T00:15:00Z,0.508
2024-04-12T00:30:00Z,0.547
2024-04-12T00:45:00Z,0.0050000000002328
2024-04-12T01:00:00Z,0.2669999999997671
2024-04-12T01:15:00Z,0.292
2024-04-12T01:30:00Z,0.42
2024-04-12T01:45:00Z,0.004
2024-04-12T02:00:00Z,0.592
2024-04-12T02:15:00Z,0.006
2024-04-12T02:30:00Z,0.721
2024-04-12T02:45:00Z,0.005
2024-04-12T03:00:00Z,0.708
2024-04-12T03:15:00Z,0.0079999999997671
2024-04-12T03:30:00Z,0.2380000000004656
2024-04-12T03:45:00Z,0.0019999999997671
2024-04-12T04:00:00Z,0.738
2024-04-12T04:15:00Z,0.049
2024-04-12T04:30:00Z,0.832
2024-04-12T04:45:00Z,0.047
2024-04-12T05:00:00Z,0.005
2024-04-12T05:15:00Z,0.0
2024-04-12T05:30:00Z,0.0
2024-04-12T05:45:00Z,0.0
2024-04-12T06:00:00Z,0.416
2024-04-12T06:15:00Z,0.005
2024-04-12T06:30:00Z,0.611
2024-04-12T06:45:00Z,0.005
2024-04-12T07:00:00Z,0.535
2024-04-12T07:15:00Z,0.018
2024-04-12T07:30:00Z,0.0
2024-04-12T07:45:00Z,0.3420000000002328
2024-04-12T08:00:00Z,0.0039999999997671
2024-04-12T08:15:00Z,0.0
2024-04-12T08:30:00Z,0.118
2024-04-12T08:45:00Z,0.482
2024-04-12T09:00:00Z,0.471
2024-04-12T09:15:00Z,0.584
2024-04-12T09:30:00Z,0.2479999999997671
2024-04-12T09:45:00Z,0.5230000000002328
2024-04-12T10:00:00Z,0.536
2024-04-12T10:15:00Z,0.2489999999997671
2024-04-12T10:30:00Z,0.4170000000002328
2024-04-12T10:45:00Z,0.404
2024-04-12T11:00:00Z,0.422
2024-04-12T11:15:00Z,0.4660000000002328
2024-04-12T11:30:00Z,0.453
2024-04-12T11:45:00Z,0.3969999999997671
2024-04-12T12:00:00Z,0.419
2024-04-12T12:15:00Z,0.383
2024-04-12T12:30:00Z,0.343
2024-04-12T12:45:00Z,0.4499999999997671
2024-04-12T13:00:00Z,0.4260000000002328
2024-04-12T13:15:00Z,0.54
2024-04-12T13:30:00Z,0.5220000000002328
2024-04-12T13:45:00Z,0.4809999999997671
2024-04-12T14:00:00Z,0.429
2024-04-12T14:15:00Z,0.451
2024-04-12T14:30:00Z,0.4389999999997672
2024-04-12T14:45:00Z,0.3060000000002328
2024-04-12T15:00:00Z,0.0
2024-04-12T15:15:00Z,0.0
2024-04-12T15:30:00Z,0.0
2024-04-12T15:45:00Z,0.0370000000002328
2024-04-12T16:00:00Z,0.3969999999997671
2024-04-12T16:15:00Z,0.127
2024-04-12T16:30:00Z,0.0
2024-04-12T16:45:00Z,0.0
2024-04-12T17:00:00Z,0.0160000000002328
2024-04-12T17:15:00Z,0.0299999999997671
2024-04-12T17:30:00Z,0.001
2024-04-12T17:45:00Z,0.001
2024-04-12T18:00:00Z,0.0
2024-04-12T18:15:00Z,0.008
2024-04-12T18:30:00Z,0.023
2024-04-12T18:45:00Z,0.0
2024-04-12T19:00:00Z,0.0
2024-04-12T19:15:00Z,0.0
2024-04-12T19:30:00Z,0.006
2024-04-12T19:45:00Z,0.012
2024-04-12T20:00:00Z,0.01
2024-04-12T20:15:00Z,0.0
2024-04-12T20:30:00Z,0.0
2024-04-12T20:45:00Z,0.001
2024-04-12T21:00:00Z,0.001
2024-04-12T21:15:00Z,0.0010000000002328
2024-04-12T21:30:00Z,0.0139999999997671
2024-04-12T21:45:00Z,0.007
2024-04-12T22:00:00Z,0.009
2024-04-12T22:15:00Z,0.02
2024-04-12T22:30:00Z,0.011
2024-04-12T22:45:00Z,0.004
2024-04-12T23:00:00Z,0.001
2024-04-12T23:15:00Z,0.0
2024-04-12T23:30:00Z,0.008
2024-04-12T23:45:00Z,0.0040000000002328
2024-04-13T00:00:00Z,0.002
2024-04-13T00:15:00Z,0.0
2024-04-13T00:30:00Z,0.0
2024-04-13T00:45:00Z,0.0119999999997671
2024-04-13T01:00:00Z,0.0
2024-04-13T01:15:00Z,0.002
2024-04-13T01:30:00Z,0.003
