datetime,Consumer_0_elec,PublicGrid_0_elec,Charger_0_elec,Consumer_0_heat,PublicGrid_0_heat,Charger_0_heat
09/04/2024 07:30:00,-0.5466163831900599,0.0,0,0.0,0.0,0.0
09/04/2024 07:45:00,-0.545187374105841,0.0,0,0.0,0.0,0.0
09/04/2024 08:00:00,-0.5464595943505359,0.0,0,0.0,0.0,0.0
09/04/2024 08:15:00,-0.5477622890788051,0.0,0,0.0,0.0,0.0
09/04/2024 08:30:00,-0.546130898695642,0.0,0,0.0,0.0,0.0
09/04/2024 08:45:00,-0.545187374105841,0.0,0,0.0,0.0,0.0
09/04/2024 09:00:00,-0.545187374105841,0.0,0,0.0,0.0,0.0
09/04/2024 09:15:00,-0.5406587473433567,0.0,0,0.0,0.0,0.0
09/04/2024 09:30:00,-0.5435559837226779,0.0,0,0.0,0.0,0.0
09/04/2024 09:45:00,-0.5432552670478091,0.0,0,0.0,0.0,0.0
